match_id,date,team_id,team_name,local_ultimos_5_partidos,local_ultimos_5_ganados,local_ultimos_5_empatados,local_ultimos_5_perdidos,local_ultimos_5_goles_favor,local_ultimos_5_goles_contra,local_ultimos_5_diferencia_gol,local_ultimos_5_puntos,local_ultimos_5_prom_goles_favor,local_ultimos_5_prom_goles_contra,visitante_ultimos_5_partidos,visitante_ultimos_5_ganados,visitante_ultimos_5_empatados,visitante_ultimos_5_perdidos,visitante_ultimos_5_goles_favor,visitante_ultimos_5_goles_contra,visitante_ultimos_5_diferencia_gol,visitante_ultimos_5_puntos,visitante_ultimos_5_prom_goles_favor,visitante_ultimos_5_prom_goles_contra
m_4KLddA,2026-03-15,t_0SmVI4,Independiente Rivadavia,5,2,1,2,7,7,0,7,1.4,1.4,3,2,1,0,4,2,2,7,1.3333333333333333,0.6666666666666666
m_3SxiDH,2026-03-23,t_0SmVI4,Independiente Rivadavia,5,2,1,2,7,7,0,7,1.4,1.4,4,3,1,0,7,4,3,10,1.75,1.0
m_41Dxbo,2026-04-02,t_0SmVI4,Independiente Rivadavia,5,2,1,2,7,6,1,7,1.4,1.2,4,3,1,0,7,4,3,10,1.75,1.0
m_0sFzNT,2026-04-11,t_0SmVI4,Independiente Rivadavia,5,2,1,2,7,6,1,7,1.4,1.2,5,4,1,0,9,4,5,13,1.8,0.8
m_0fOliE,2026-04-20,t_0SmVI4,Independiente Rivadavia,5,3,1,1,10,6,4,10,2.0,1.2,5,4,1,0,9,4,5,13,1.8,0.8
m_1qQfO1,2026-04-26,t_0SmVI4,Independiente Rivadavia,5,3,1,1,10,6,4,10,2.0,1.2,5,3,2,0,7,3,4,11,1.4,0.6
m_3MfCw1,2026-05-03,t_0SmVI4,Independiente Rivadavia,5,3,1,1,12,5,7,10,2.4,1.0,5,3,2,0,7,3,4,11,1.4,0.6
m_3h25YQ,2026-05-10,t_0SmVI4,Independiente Rivadavia,5,3,1,1,12,5,7,10,2.4,1.0,5,2,3,0,7,4,3,9,1.4,0.8
m_38l4Ru,2026-07-26,t_0SmVI4,Independiente Rivadavia,5,3,0,2,12,6,6,9,2.4,1.2,5,2,3,0,7,4,3,9,1.4,0.8
m_4ZaB72,2026-07-30,t_0SmVI4,Independiente Rivadavia,5,3,0,2,12,6,6,9,2.4,1.2,5,2,3,0,6,3,3,9,1.2,0.6
m_0eUxKc,2026-08-08,t_0SmVI4,Independiente Rivadavia,5,4,0,1,13,5,8,12,2.6,1.0,5,2,3,0,6,3,3,9,1.2,0.6
m_2rJ3SG,2026-08-15,t_0SmVI4,Independiente Rivadavia,5,4,0,1,13,6,7,12,2.6,1.2,5,2,3,0,6,3,3,9,1.2,0.6
m_2IoMcO,2026-08-22,t_0SmVI4,Independiente Rivadavia,5,4,0,1,13,6,7,12,2.6,1.2,5,1,3,1,3,3,0,6,0.6,0.6
m_3p9B98,2026-08-31,t_0SmVI4,Independiente Rivadavia,5,4,0,1,13,6,7,12,2.6,1.2,5,0,4,1,1,3,-2,4,0.2,0.6
m_32YJGL,2026-09-06,t_0SmVI4,Independiente Rivadavia,5,4,0,1,13,6,7,12,2.6,1.2,5,0,4,1,1,3,-2,4,0.2,0.6
m_2lA7Wg,2026-09-12,t_0SmVI4,Independiente Rivadavia,5,4,0,1,13,6,7,12,2.6,1.2,5,0,3,2,2,6,-4,3,0.4,1.2
m_4LyLYK,2026-01-22,t_0bW0AU,Banfield,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
m_2daQ30,2026-01-30,t_0bW0AU,Banfield,1,0,1,0,1,1,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0
